colony,tag_ID,group,obs_interaction_nurses,obs_interaction_cleaners,obs_interaction_foragers,obs_interaction_queen,exp_random_nurses,exp_random_cleaners,exp_random_foragers,exp_space_nurses,exp_space_cleaners,exp_space_foragers
78,196,F,0.199285,0.290653,0.510061,0.000210117,0.611742,0.254003,0.134255,0.216813,0.314427,0.468758
78,198,F,0.180678,0.273333,0.545989,0,0.611742,0.254003,0.134255,0.278905,0.307227,0.413867
78,202,F,0.166851,0.290397,0.542753,0.000678829,0.611742,0.254003,0.134255,0.18963,0.363892,0.446477
78,206,F,0.372558,0.272521,0.354921,0.00160736,0.611742,0.254003,0.134255,0.455065,0.305075,0.239859
78,212,F,0.143034,0.261908,0.595058,0.00013725,0.611742,0.254003,0.134255,0.168787,0.309064,0.522147
78,237,F,0.148406,0.183766,0.667827,0,0.611742,0.254003,0.134255,0.197983,0.307369,0.494641
78,257,F,0.132098,0.274704,0.593198,0,0.611742,0.254003,0.134255,0.191973,0.335184,0.472842
78,260,F,0.139064,0.222463,0.638472,9.87E-05,0.611742,0.254003,0.134255,0.16377,0.321339,0.51489
78,326,F,0.110665,0.224799,0.664536,0.000182582,0.611742,0.254003,0.134255,0.0959081,0.309353,0.594737
78,331,F,0.125023,0.275387,0.59959,0,0.611742,0.254003,0.134255,0.143282,0.349851,0.506867
78,332,F,0.258678,0.309155,0.432167,0.00239791,0.611742,0.254003,0.134255,0.280498,0.336636,0.382866
78,342,F,0.104914,0.21259,0.682496,0,0.611742,0.254003,0.134255,0.124917,0.316615,0.558462
78,376,F,0.164381,0.242677,0.592941,0.00105366,0.611742,0.254003,0.134255,0.191287,0.30277,0.505942
78,397,F,0.207788,0.288917,0.503295,0.00017113,0.611742,0.254003,0.134255,0.273909,0.332623,0.393468
78,437,F,0.161297,0.260101,0.578601,0.000215448,0.611742,0.254003,0.134255,0.208717,0.307192,0.48409
