colony,tag_id,body_size,age(days),nb_foraging_events,group_period1,group_period2,group_period3,group_period4,visits_to_brood,visits_to_nest_entrance,visits_to_rubbishpile,nb_interaction_nurses,nb_interaction_cleaners,nb_interaction_foragers,nb_interaction_queen
29,217,156.978,14,0,N,N,NA,NA,193.909,1.18182,0.818182,227.72727,55.181818,21.272727,19.64
29,237,163.615,14,0,N,N,F,NA,98.3636,0,1.63636,166.09091,96.818182,35.909091,2.727
29,242,142.899,14,0,N,N,N,N,544.091,0.727273,8.09091,281.27273,201,101,5.727
29,250,149.04,14,0,N,N,N,NA,353.636,1.27273,3.18182,360.63636,94.727273,35.272727,11.09
29,252,165.412,50,0,N,N,N,N,465.091,2.72727,2.90909,426.09091,132.54545,47.545455,21.45
29,263,159.928,40,0,N,N,N,N,164.727,0,0.545455,193,142.36364,56.727273,8.182
29,264,171.418,19,0,N,N,N,N,321.182,0,0.363636,390.27273,128.90909,56.181818,10.55
29,289,153.808,14,0,N,N,NA,NA,308.818,4.27273,6.72727,272.54545,109.36364,41.181818,9.182
29,299,159.906,50,0,N,N,N,N,395.636,3.09091,0.272727,428.45455,200.63636,84.818182,26.36
29,305,132.231,14,0,N,N,C,C,372.364,0,1.27273,289.27273,144.09091,71.545455,7.091
29,326,133.004,14,0,N,N,NA,NA,306.455,1.72727,5.36364,223.18182,94.818182,41.636364,8
29,334,132.136,14,0,N,N,N,NA,735.273,0.272727,0.545455,324.54545,121.18182,53.909091,7.727
29,356,130.392,14,0,N,N,N,N,398.364,0.272727,0.181818,302.27273,151.72727,72,6.455
29,391,156.605,14,0,N,N,N,N,543.727,0,0.181818,367,86.818182,26.909091,20.64
29,433,134.172,14,0,N,NA,NA,NA,96.5455,0.818182,0.909091,137.72727,81.272727,40.363636,3.909
29,475,165.529,106,0,N,N,N,N,496.727,0.181818,0.454545,335.18182,219.90909,84.181818,17.55
29,530,145.165,14,0,N,N,NA,NA,149.091,0.363636,1.18182,300.72727,92,30.272727,11.73
29,534,144.281,14,0,N,N,N,NA,218.364,0.0909091,1.63636,220.27273,140.18182,67.090909,3.636
29,540,153.388,50,0,N,N,C,NA,168.273,5.81818,9.81818,265.27273,214,91.818182,6.182
29,564,130.943,14,0,N,N,N,NA,215.182,0,0,263.18182,100.54545,42.636364,7.909
29,646,146.294,14,0,N,N,N,NA,214.545,0,3.27273,270.09091,80.909091,33,11.27
29,740,135.794,14,0,N,N,F,NA,351.273,2.09091,1.54545,284.90909,104.90909,42.181818,13.82
29,838,150.712,14,0,N,N,NA,NA,540.273,1.18182,0,228.81818,96.545455,56.272727,1.364
29,929,148.408,14,0,N,N,NA,NA,154.182,0.363636,1,291.09091,55.545455,22.363636,9.636
58,2,166.012,71,0,N,N,NA,NA,507,0.272727,1.36364,513.09091,63,28.545455,33.64
58,4,170.95,40,0,N,N,NA,NA,137.818,1.63636,0.727273,443.81818,63.363636,30.727273,26.18
58,5,150.572,14,0,N,N,N,N,361.364,0,32,578.18182,102.18182,30.818182,18.18
58,13,135.329,40,0,N,N,F,F,58.6364,0.545455,9.63636,461.18182,141.36364,46.181818,14.82
